FID,owfid,country,lat,lon,p_name_4c,o_name_4c,capacity4c,yearmonth
36,120037,China,"39° 26' 39.205"" N","123° 12' 49.993"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/3/1
37,120038,China,"39° 30' 55.870"" N","123° 12' 50.161"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
38,120039,China,"39° 27' 30.896"" N","123° 12' 55.850"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
39,120040,China,"39° 28' 22.687"" N","123° 13' 3.132"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/2/1
40,120041,China,"39° 26' 39.277"" N","123° 13' 10.876"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
41,120042,China,"39° 30' 55.838"" N","123° 13' 13.465"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
42,120043,China,"39° 29' 14.391"" N","123° 13' 15.152"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/6/1
43,120044,China,"39° 27' 30.835"" N","123° 13' 21.954"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2017/7/1
44,120045,China,"39° 26' 39.157"" N","123° 13' 31.962"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/9/1
45,120046,China,"39° 30' 55.500"" N","123° 13' 36.589"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/7/1
46,120047,China,"39° 28' 22.670"" N","123° 13' 38.523"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/10/1
47,120048,China,"39° 29' 14.438"" N","123° 13' 44.551"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2015/12/1
48,120049,China,"39° 27' 31.160"" N","123° 13' 47.830"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
49,120050,China,"39° 26' 39.139"" N","123° 13' 52.962"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/4/1
50,120051,China,"39° 30' 55.820"" N","123° 13' 59.532"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/10/1
51,120052,China,"39° 27' 30.783"" N","123° 14' 13.967"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/10/1
52,120053,China,"39° 29' 14.043"" N","123° 14' 13.901"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
53,120054,China,"39° 26' 39.224"" N","123° 14' 14.004"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
54,120055,China,"39° 30' 5.879"" N","123° 14' 13.927"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
55,120056,China,"39° 23' 57.415"" N","123° 17' 50.518"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
56,120057,China,"39° 28' 45.759"" N","123° 18' 3.462"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/9/1
57,120058,China,"39° 32' 23.061"" N","123° 18' 3.678"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/7/1
58,120059,China,"39° 31' 25.234"" N","123° 18' 4.320"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/5/1
59,120060,China,"39° 32' 55.959"" N","123° 18' 8.732"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/6/1
60,120061,China,"39° 28' 9.226"" N","123° 18' 11.416"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
61,120062,China,"39° 29' 22.272"" N","123° 18' 24.183"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/1/1
62,120063,China,"39° 22' 26.986"" N","123° 18' 30.472"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
63,120064,China,"39° 31' 46.354"" N","123° 18' 34.093"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/1/1
64,120065,China,"39° 32' 17.258"" N","123° 18' 35.146"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/11/1
65,120066,China,"39° 32' 48.809"" N","123° 18' 36.367"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/12/1
66,120067,China,"39° 28' 45.610"" N","123° 18' 44.812"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/2/1
67,120068,China,"39° 29' 21.883"" N","123° 18' 56.331"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2016/4/1
68,120069,China,"39° 32' 13.386"" N","123° 19' 1.323"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
69,120070,China,"39° 22' 26.738"" N","123° 19' 1.670"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2015/8/1
70,120071,China,"39° 32' 44.270"" N","123° 19' 4.823"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/7/1
71,120072,China,"39° 31' 48.696"" N","123° 19' 10.865"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/3/1
72,120073,China,"39° 28' 8.907"" N","123° 19' 14.150"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
73,120074,China,"39° 30' 55.173"" N","123° 19' 27.444"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/6/1
74,120075,China,"39° 29' 22.031"" N","123° 19' 27.736"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/6/1
75,120076,China,"39° 32' 33.891"" N","123° 19' 31.314"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2017/9/1
76,120077,China,"39° 22' 26.918"" N","123° 19' 32.766"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
77,120078,China,"39° 32' 4.264"" N","123° 19' 35.883"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/6/1
78,120079,China,"39° 28' 44.922"" N","123° 19' 43.380"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
79,120080,China,"39° 28' 9.219"" N","123° 19' 45.459"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
80,120081,China,"39° 31' 25.148"" N","123° 19' 58.076"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
81,120082,China,"39° 29' 21.167"" N","123° 19' 59.121"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
82,120083,China,"39° 32' 25.263"" N","123° 19' 59.045"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/7/1
83,120084,China,"39° 22' 26.865"" N","123° 20' 3.756"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
84,120085,China,"39° 31' 58.384"" N","123° 20' 5.510"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/1/1
85,120086,China,"39° 30' 56.051"" N","123° 20' 12.197"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/4/1
86,120087,China,"39° 28' 8.886"" N","123° 20' 16.863"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/10/1
87,120088,China,"39° 32' 30.246"" N","123° 20' 23.108"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2017/10/1
88,120089,China,"39° 31' 25.233"" N","123° 20' 25.344"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
89,120090,China,"39° 29' 21.650"" N","123° 20' 27.374"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
90,120091,China,"39° 31' 58.173"" N","123° 20' 32.785"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/5/1
91,120092,China,"39° 28' 45.350"" N","123° 20' 36.061"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
92,120093,China,"39° 32' 27.315"" N","123° 20' 52.238"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/11/1
93,120094,China,"39° 29' 16.734"" N","123° 20' 54.656"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
94,120095,China,"39° 30' 41.885"" N","123° 20' 55.153"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/4/1
95,120096,China,"39° 28' 9.257"" N","123° 20' 55.668"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
96,120097,China,"39° 31' 53.672"" N","123° 21' 0.042"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/12/1
97,120098,China,"39° 30' 3.021"" N","123° 21' 1.643"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
98,120099,China,"39° 21' 40.538"" N","123° 21' 11.375"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/8/1
99,120100,China,"39° 28' 45.119"" N","123° 21' 11.688"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
100,120101,China,"39° 29' 24.120"" N","123° 21' 19.137"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/3/1
101,120102,China,"39° 31' 0.027"" N","123° 21' 19.697"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
102,120103,China,"39° 32' 23.583"" N","123° 21' 20.028"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/10/1
103,120104,China,"39° 31' 48.767"" N","123° 21' 27.825"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/6/1
104,120105,China,"39° 30' 2.761"" N","123° 21' 28.775"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/12/1
105,120106,China,"39° 28' 9.889"" N","123° 21' 32.645"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/3/1
106,120107,China,"39° 34' 17.771"" N","123° 21' 37.263"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/1/1
107,120108,China,"39° 28' 45.170"" N","123° 21' 46.141"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/9/1
108,120109,China,"39° 29' 23.764"" N","123° 21' 46.346"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
109,120110,China,"39° 30' 52.119"" N","123° 21' 46.787"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/4/1
110,120111,China,"39° 32' 17.807"" N","123° 21' 47.980"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/3/1
111,120112,China,"39° 31' 44.668"" N","123° 21' 54.342"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
112,120113,China,"39° 30' 2.761"" N","123° 21' 55.972"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/12/1
113,120114,China,"39° 28' 9.091"" N","123° 22' 5.596"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/4/1
114,120115,China,"39° 22' 5.192"" N","123° 22' 5.955"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
115,120116,China,"39° 29' 23.631"" N","123° 22' 13.675"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
116,120117,China,"39° 30' 50.095"" N","123° 22' 13.974"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/12/1
117,120118,China,"39° 32' 13.069"" N","123° 22' 15.090"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/1/1
118,120119,China,"39° 28' 44.754"" N","123° 22' 17.297"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
119,120120,China,"39° 34' 12.394"" N","123° 22' 20.566"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/12/1
120,120121,China,"39° 31' 40.322"" N","123° 22' 21.698"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
121,120122,China,"39° 30' 2.474"" N","123° 22' 23.189"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
122,120123,China,"39° 22' 17.917"" N","123° 22' 33.137"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
123,120124,China,"39° 28' 9.244"" N","123° 22' 39.042"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
124,120125,China,"39° 29' 23.569"" N","123° 22' 40.766"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/4/1
125,120126,China,"39° 30' 47.793"" N","123° 22' 41.294"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/11/1
126,120127,China,"39° 32' 9.172"" N","123° 22' 41.622"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
127,120128,China,"39° 23' 20.597"" N","123° 22' 45.792"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/6/1
128,120129,China,"39° 31' 35.075"" N","123° 22' 48.777"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
129,120130,China,"39° 30' 2.507"" N","123° 22' 50.297"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
130,120131,China,"39° 28' 44.633"" N","123° 22' 50.758"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/9/1
131,120132,China,"39° 34' 8.063"" N","123° 22' 53.169"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
132,120133,China,"39° 22' 30.842"" N","123° 23' 0.364"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/12/1
133,120134,China,"39° 29' 23.484"" N","123° 23' 7.927"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
134,120135,China,"39° 32' 4.469"" N","123° 23' 8.843"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/12/1
135,120136,China,"39° 28' 9.234"" N","123° 23' 12.580"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
136,120137,China,"39° 23' 42.037"" N","123° 23' 12.825"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/8/1
137,120138,China,"39° 30' 37.786"" N","123° 23' 14.971"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/1/1
138,120139,China,"39° 31' 30.604"" N","123° 23' 14.873"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
139,120140,China,"39° 30' 2.340"" N","123° 23' 17.033"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/9/1
140,120141,China,"39° 28' 44.466"" N","123° 23' 18.819"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
141,120142,China,"39° 34' 3.706"" N","123° 23' 25.796"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/7/1
142,120143,China,"39° 22' 43.152"" N","123° 23' 27.699"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/11/1
143,120144,China,"39° 22' 55.431"" N","123° 23' 54.936"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/4/1
144,120145,China,"39° 26' 27.671"" N","123° 24' 3.886"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/12/1
145,120146,China,"39° 25' 5.580"" N","123° 24' 4.265"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/10/1
146,120147,China,"39° 23' 7.871"" N","123° 24' 22.306"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
147,120148,China,"39° 26' 27.134"" N","123° 24' 28.861"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
148,120149,China,"39° 26' 26.905"" N","123° 24' 53.543"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
149,120150,China,"39° 24' 53.600"" N","123° 25' 0.755"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/4/1
150,120151,China,"39° 23' 32.886"" N","123° 25' 16.753"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
151,120152,China,"39° 26' 26.780"" N","123° 25' 18.254"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/1/1
152,120153,China,"39° 26' 26.792"" N","123° 25' 42.939"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/8/1
153,120154,China,"39° 23' 45.500"" N","123° 25' 44.013"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/2/1
154,120155,China,"39° 26' 26.735"" N","123° 26' 7.670"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/10/1
155,120156,China,"39° 23' 58.050"" N","123° 26' 11.283"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/8/1
156,120157,China,"39° 26' 26.810"" N","123° 26' 56.962"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2019/12/1
157,120158,China,"39° 24' 22.640"" N","123° 27' 5.849"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/7/1
158,120159,China,"39° 26' 26.778"" N","123° 27' 21.669"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/2/1
159,120160,China,"39° 24' 35.187"" N","123° 27' 33.273"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/10/1
160,120161,China,"39° 26' 26.946"" N","123° 27' 46.317"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/9/1
161,120162,China,"39° 24' 48.117"" N","123° 28' 0.415"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/6/1
162,120163,China,"39° 26' 26.892"" N","123° 28' 10.947"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/4/1
163,120164,China,"39° 25' 0.339"" N","123° 28' 27.800"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2021/4/1
164,120165,China,"39° 26' 26.435"" N","123° 28' 35.655"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/4/1
165,120166,China,"39° 25' 24.990"" N","123° 29' 22.192"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/2/1
166,120167,China,"39° 26' 26.526"" N","123° 29' 25.176"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2016/10/1
167,120168,China,"39° 26' 26.830"" N","123° 29' 49.859"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2018/7/1
168,120169,China,"39° 27' 18.369"" N","123° 19' 28.868"" E",Dalian Zhuanghe #3 CTGNE,China Three Gorges Corporation,300,2020/8/1
169,120170,China,"32° 56' 18.474"" N","121° 11' 44.796"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2020/2/1
170,120171,China,"32° 57' 10.393"" N","121° 11' 45.179"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2019/2/1
171,120172,China,"32° 54' 36.561"" N","121° 11' 46.085"" E",Zhugensha H2,China National Offshore Oil Corp(CNOOC),302,2020/12/1
172,120173,China,"32° 56' 18.527"" N","121° 12' 2.991"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2018/6/1
173,120174,China,"32° 57' 10.231"" N","121° 12' 5.883"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2020/12/1
174,120175,China,"32° 54' 36.526"" N","121° 12' 6.650"" E",Zhugensha H2,China National Offshore Oil Corp(CNOOC),302,2019/12/1
175,120176,China,"32° 56' 18.333"" N","121° 12' 21.326"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2017/6/1
176,120177,China,"32° 54' 36.464"" N","121° 12' 26.247"" E",Zhugensha H2,China National Offshore Oil Corp(CNOOC),302,2020/12/1
177,120178,China,"32° 57' 10.259"" N","121° 12' 26.661"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2021/6/1
178,120179,China,"32° 56' 18.178"" N","121° 12' 39.509"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2020/12/1
179,120180,China,"32° 54' 36.541"" N","121° 12' 45.848"" E",Zhugensha H2,China National Offshore Oil Corp(CNOOC),302,2021/7/1
180,120181,China,"32° 57' 10.095"" N","121° 12' 47.485"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2019/10/1
181,120182,China,"32° 56' 18.280"" N","121° 12' 57.727"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2020/12/1
182,120183,China,"32° 57' 10.036"" N","121° 13' 8.299"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2019/3/1
183,120184,China,"32° 56' 18.147"" N","121° 13' 15.897"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2020/12/1
184,120185,China,"32° 57' 9.812"" N","121° 13' 29.013"" E",Jiangsu Luneng Dongtai 200MW Concession,Shandong Luneng Group,200,2018/5/1
